vcn,byte,bit,set start,set end,clear start,clear end
0,0,0,11111111,00000001,00000000,11111110
1,0,1,11111110,00000011,00000001,11111100
2,0,2,11111100,00000111,00000011,11111000
3,0,3,11111000,00001111,00000111,11110000
4,0,4,11110000,00011111,00001111,11100000
5,0,5,11100000,00111111,00011111,11000000
6,0,6,11000000,01111111,00111111,10000000
7,0,7,10000000,11111111,011111111,00000000
8,1,0,11111111,00000001,00000000,11111110
9,1,1,11111110,00000011,00000001,11111100
10,1,2,11111100,00000111,00000011,11111000
11,1,3,11111000,00001111,00000111,11110000
12,1,4,11110000,00011111,00001111,11100000
13,1,5,11100000,00111111,00011111,11000000
14,1,6,11000000,01111111,00111111,10000000
15,1,7,10000000,11111111,011111111,00000000
16,2,0,11111111,00000001,00000000,11111110
17,2,1,11111110,00000011,00000001,11111100
18,2,2,11111100,00000111,00000011,11111000
19,2,3,11111000,00001111,00000111,11110000
20,2,4,11110000,00011111,00001111,11100000
21,2,5,11100000,00111111,00011111,11000000
22,2,6,11000000,01111111,00111111,10000000
23,2,7,10000000,11111111,011111111,00000000
24,3,0,11111111,00000001,00000000,11111110
25,3,1,11111110,00000011,00000001,11111100
26,3,2,11111100,00000111,00000011,11111000
27,3,3,11111000,00001111,00000111,11110000
28,3,4,11110000,00011111,00001111,11100000
29,3,5,11100000,00111111,00011111,11000000
30,3,6,11000000,01111111,00111111,10000000
31,3,7,10000000,11111111,011111111,00000000
32,4,0,11111111,00000001,00000000,11111110
33,4,1,11111110,00000011,00000001,11111100
34,4,2,11111100,00000111,00000011,11111000
35,4,3,11111000,00001111,00000111,11110000
36,4,4,11110000,00011111,00001111,11100000
37,4,5,11100000,00111111,00011111,11000000
38,4,6,11000000,01111111,00111111,10000000
39,4,7,10000000,11111111,011111111,00000000
40,5,0,11111111,00000001,00000000,11111110
41,5,1,11111110,00000011,00000001,11111100
42,5,2,11111100,00000111,00000011,11111000
43,5,3,11111000,00001111,00000111,11110000
44,5,4,11110000,00011111,00001111,11100000
45,5,5,11100000,00111111,00011111,11000000
46,5,6,11000000,01111111,00111111,10000000
47,5,7,10000000,11111111,011111111,00000000
48,6,0,11111111,00000001,00000000,11111110
49,6,1,11111110,00000011,00000001,11111100
50,6,2,11111100,00000111,00000011,11111000
51,6,3,11111000,00001111,00000111,11110000
52,6,4,11110000,00011111,00001111,11100000
53,6,5,11100000,00111111,00011111,11000000
54,6,6,11000000,01111111,00111111,10000000
55,6,7,10000000,11111111,011111111,00000000
56,7,0,11111111,00000001,00000000,11111110
57,7,1,11111110,00000011,00000001,11111100
58,7,2,11111100,00000111,00000011,11111000
59,7,3,11111000,00001111,00000111,11110000
60,7,4,11110000,00011111,00001111,11100000
61,7,5,11100000,00111111,00011111,11000000
62,7,6,11000000,01111111,00111111,10000000
63,7,7,10000000,11111111,011111111,00000000
64,8,0,11111111,00000001,00000000,11111110
65,8,1,11111110,00000011,00000001,11111100
66,8,2,11111100,00000111,00000011,11111000
67,8,3,11111000,00001111,00000111,11110000
68,8,4,11110000,00011111,00001111,11100000
69,8,5,11100000,00111111,00011111,11000000
70,8,6,11000000,01111111,00111111,10000000
71,8,7,10000000,11111111,011111111,00000000
72,9,0,11111111,00000001,00000000,11111110
73,9,1,11111110,00000011,00000001,11111100
74,9,2,11111100,00000111,00000011,11111000
75,9,3,11111000,00001111,00000111,11110000
76,9,4,11110000,00011111,00001111,11100000
77,9,5,11100000,00111111,00011111,11000000
78,9,6,11000000,01111111,00111111,10000000
79,9,7,10000000,11111111,011111111,00000000
80,10,0,11111111,00000001,00000000,11111110
81,10,1,11111110,00000011,00000001,11111100
82,10,2,11111100,00000111,00000011,11111000
83,10,3,11111000,00001111,00000111,11110000
84,10,4,11110000,00011111,00001111,11100000
85,10,5,11100000,00111111,00011111,11000000
86,10,6,11000000,01111111,00111111,10000000
87,10,7,10000000,11111111,011111111,00000000
88,11,0,11111111,00000001,00000000,11111110
89,11,1,11111110,00000011,00000001,11111100
90,11,2,11111100,00000111,00000011,11111000
91,11,3,11111000,00001111,00000111,11110000
92,11,4,11110000,00011111,00001111,11100000
93,11,5,11100000,00111111,00011111,11000000
94,11,6,11000000,01111111,00111111,10000000
95,11,7,10000000,11111111,011111111,00000000
96,12,0,11111111,00000001,00000000,11111110
97,12,1,11111110,00000011,00000001,11111100
98,12,2,11111100,00000111,00000011,11111000
99,12,3,11111000,00001111,00000111,11110000
100,12,4,11110000,00011111,00001111,11100000
101,12,5,11100000,00111111,00011111,11000000
102,12,6,11000000,01111111,00111111,10000000
103,12,7,10000000,11111111,011111111,00000000
104,13,0,11111111,00000001,00000000,11111110
105,13,1,11111110,00000011,00000001,11111100
106,13,2,11111100,00000111,00000011,11111000
107,13,3,11111000,00001111,00000111,11110000
108,13,4,11110000,00011111,00001111,11100000
109,13,5,11100000,00111111,00011111,11000000
110,13,6,11000000,01111111,00111111,10000000
111,13,7,10000000,11111111,011111111,00000000
112,14,0,11111111,00000001,00000000,11111110
113,14,1,11111110,00000011,00000001,11111100
114,14,2,11111100,00000111,00000011,11111000
115,14,3,11111000,00001111,00000111,11110000
116,14,4,11110000,00011111,00001111,11100000
117,14,5,11100000,00111111,00011111,11000000
118,14,6,11000000,01111111,00111111,10000000
119,14,7,10000000,11111111,011111111,00000000
120,15,0,11111111,00000001,00000000,11111110
121,15,1,11111110,00000011,00000001,11111100
122,15,2,11111100,00000111,00000011,11111000
123,15,3,11111000,00001111,00000111,11110000
124,15,4,11110000,00011111,00001111,11100000
125,15,5,11100000,00111111,00011111,11000000
126,15,6,11000000,01111111,00111111,10000000
127,15,7,10000000,11111111,011111111,00000000
128,16,0,11111111,00000001,00000000,11111110
129,16,1,11111110,00000011,00000001,11111100
130,16,2,11111100,00000111,00000011,11111000
131,16,3,11111000,00001111,00000111,11110000
132,16,4,11110000,00011111,00001111,11100000
133,16,5,11100000,00111111,00011111,11000000
134,16,6,11000000,01111111,00111111,10000000
